id,cd_estab,nm_ab_cliente,nr_nota_fis,dt_saida,hr_grade,cd_produto,un_embalagem,qt_embalagem,qt_pilha,qt_carregada,qt_falta,id_motivo,qt_pallet,vl_base_multa,vl_multa,usr_atlz_id,base_id,dt_atlz
280,JAG,FFJDI,20588,,4:00,503500063,CX,88,0/88,0,0,,0,0,0,1,281,2016-10-30 16:04:30
281,JAG,FFJDI,20588,,4:00,503500064,CX,16,0/16,0,0,,0,0,0,1,281,2016-10-30 16:04:30
282,JAG,PREZUNIC,20592,,14:00,503500143,CX,2,0/2,0,0,,0,0,0,1,287,2016-10-30 16:04:30
283,JAG,PREZUNIC,20592,,14:00,503500146,CX,3,0/3,0,0,,0,0,0,1,287,2016-10-30 16:04:30
284,JAG,PREZUNIC,20592,,14:00,503500147,CX,3,0/3,0,0,,0,0,0,1,287,2016-10-30 16:04:30
285,JAG,PREZUNIC,20592,,14:00,503500149,CX,6,0/6,0,0,,0,0,0,1,287,2016-10-30 16:04:30
286,JAG,PREZUNIC,20592,,14:00,503500145,CX,10,0/10,0,0,,0,0,0,1,287,2016-10-30 16:04:30
287,JAG,PREZUNIC,20592,,14:00,503500148,CX,4,0/4,0,0,,0,0,0,1,287,2016-10-30 16:04:30
288,JAG,JCBOB,20591,,1:00,503500073,CX,21,0/21,0,0,,0,0,0,1,293,2016-10-30 16:04:30
289,JAG,JCBOB,20591,,1:00,503500077,CX,63,0/63,0,0,,0,0,0,1,293,2016-10-30 16:04:30
290,JAG,JCBOB,20591,,1:00,503500079,CX,14,0/14,0,0,,0,0,0,1,293,2016-10-30 16:04:30
291,JAG,JCBOB,20591,,1:00,503500083,CX,21,0/21,0,0,,0,0,0,1,293,2016-10-30 16:04:30
292,JAG,JCBOB,20591,,1:00,503500071,CX,3,0/3,0,0,,0,0,0,1,293,2016-10-30 16:04:30
293,JAG,JCBOB,20591,,1:00,503500107,CX,8,0/8,0,0,,0,0,0,1,293,2016-10-30 16:04:30
294,JAG,CDJAC,20603,,19:00,563700001,CX,4,0/4,0,0,,0,0,0,1,295,2016-10-30 16:04:30
295,JAG,CDJAC,20603,,19:00,563700002,CX,22,0/22,0,0,,0,0,0,1,295,2016-10-30 16:04:30
296,JAG,SBWAY,20612,,21:00,563700001,CX,3,0/3,0,0,,0,0,0,1,297,2016-10-30 16:04:30
297,JAG,SBWAY,20612,,21:00,563700002,CX,10,0/10,0,0,,0,0,0,1,297,2016-10-30 16:04:30
298,JAG,SBWAY,20613,,21:00,563700001,CX,3,0/3,0,0,,0,0,0,1,299,2016-10-30 16:04:30
299,JAG,SBWAY,20613,,21:00,563700002,CX,10,0/10,0,0,,0,0,0,1,299,2016-10-30 16:04:30
300,JAG,JCBOB,20608,,1:00,503500073,CX,21,0/21,0,0,,0,0,0,1,305,2016-10-30 16:04:30
301,JAG,JCBOB,20608,,1:00,503500077,CX,84,0/84,0,0,,0,0,0,1,305,2016-10-30 16:04:30
302,JAG,JCBOB,20608,,1:00,503500079,CX,14,0/14,0,0,,0,0,0,1,305,2016-10-30 16:04:30
303,JAG,JCBOB,20608,,1:00,503500083,CX,14,0/14,0,0,,0,0,0,1,305,2016-10-30 16:04:30
304,JAG,JCBOB,20608,,1:00,503500071,CX,5,0/5,0,0,,0,0,0,1,305,2016-10-30 16:04:30
305,JAG,JCBOB,20608,,1:00,503500107,CX,4,0/4,0,0,,0,0,0,1,305,2016-10-30 16:04:30
306,JAG,JDITA,20609,,2:00,503500115,CX,12,0/12,0,0,,0,0,0,1,309,2016-10-30 16:04:30
307,JAG,JDITA,20609,,2:00,503500117,CX,4,0/4,0,0,,0,0,0,1,309,2016-10-30 16:04:30
308,JAG,JDITA,20609,,2:00,503500145,CX,1,0/1,0,0,,0,0,0,1,309,2016-10-30 16:04:30
309,JAG,JDITA,20609,,2:00,503500046,CX,4,0/4,0,0,,0,0,0,1,309,2016-10-30 16:04:30
310,JAG,JDITA,20610,,2:00,503500099,CX,3,0/3,0,0,,0,0,0,1,310,2016-10-30 16:04:30
311,JAG,JDSTP,20611,,2:00,503500115,CX,16,0/16,0,0,,0,0,0,1,313,2016-10-30 16:04:30
312,JAG,JDSTP,20611,,2:00,503500093,CX,1,0/1,0,0,,0,0,0,1,313,2016-10-30 16:04:30
313,JAG,JDSTP,20611,,2:00,503500023,CX,4,0/4,0,0,,0,0,0,1,313,2016-10-30 16:04:30
